vak,punt,jaar
Internet & Webresearch,60,1
Vormgeving voor Print,63,1
Project Print Media,60,1
Project Print Media,70,1
Internet & Webresearch,77,1
Inleiding Communicatie,61,1
Inleiding Communicatie,61,1
Photoshop,70,1
Illustrator,70,1
Inleiding Media,40,1
Informatie Architectuur,46,1
Informatie Architectuur,67,1
Vormgeving voor Print,72,1
Creatieve Technieken,60,1
Project Online Media,50,1
Project Online Media,60 ,1
Vormgeving voor Beeldscherm,60,1
Inleiding Media Technologie,75,1
Inleiding Media Technologie,65,1
Informatie Architectuur,60,1
Vormgeving voor Beeldscherm,62,1
Usability 1 ,64,1
Tekenen,67,1
SLB,60,1
Kunstgeschiedenis,55,1
Dreamweaver en CSS,80,1
Creatieve Technieken,69,1
Usability 1 ,55,1
Media-Concepting,72 ,1
Media-Concepting,70,1
Freespace,60,1
Inleiding Media,56,1
Premiere en Audition,60,1
Proposition Finding,75,1
Usability 2,53,1
Usability 2 ,72,1
Project Time Based Media,68,1
Project Time Based Media,80,1
Project Online Media,55,1
Onderzoeksvaardigheden,68,1
Motion Design,63,1
Film en beeldanalyse,50,1
Audio Vieo Techniek,61,1
User Interface Design,57,1
SLB ,60,1
Film en beeldanalyse,65,1
Psychologie,60,1
Project Social Media,75,1
Project Social Media,70,1
Communicatie en Doelgroepen,51,1
Visuele Identiteit,75,1
Visuele Identiteit,69,1
Flash,74,1
Engels,60,1
Engels,65,1
Webtechnologie,79,1
Vrije Studie Punten,60,1
User Interface Design,75,1
Usability 2 ,60,1
Propedeuse Assessment,40,1
Communicatie en Doelgroepen,73,1
Beroepsorientatie 1,60,1
Propedeuse Assessment,60,1
Identiteit en Imago,89,2
Identiteit en Imago,89,2
Productontwerp Interactie ,75,2
Media Ethiek,68,2
Project Smart Objects,57,2
Project Smart Objects,75,2
Productontwerp vormgeving,72,2
Engels 2,80,2
Trends in Technologie,68,2
Trends in Technologie,70,2
Media Sociologie,70,2
Media Strategie,68,2
Media Strategie,68,2
Interactieontwerp 1,57,2
Project Media Strategie Advies,73,2
Project Media Strategie Advies,73,2
Beeldredactie,60,2
Interactieontwerp 1,79,2
SLB,60,2
Freespace,60,2
After Effects,85,2
3ds Max,80,2
Beeldredactie,60,2
Programmeren Gedrag en Interactie,60,2
Programmeren Gedrag en Interactie,60,2
Groeps Dynamica,85,2
Idee Vorming,80,2
Idee Vorming,65,2
Game en Vertel-theorie,85,2
Programmeren van Games,90,2
Attitude en Gedrag,90,2
Attitude en Gedrag,90,2
GameDesign,80,2
GameDesign,72,2
Trends in Technologie,68,2
Project Serious Games,78,2
Project Serious Games,85,2
Project Haptische toepassing,80,2
Project Haptische toepassing,80,2
Media filosofie,55,2
Media filosofie,55,2
Belevingsconcept,95,2
Vrije Studie Punten,60,2
Programmeren Natural Interfaces,95,2
MaxMSP,60,2
Keuze Tool,70,2
Interactieontwerp 2,95,2
Interactieontwerp 2,60,2
Beroepsorientatie 2,60,2
Audiodesign,84,2
Assessment J2,60,2
Storytelling,67,2
SLB,60,2
Stage,80,3
Management,75,3
Prototyping,70,3
Programmeren,70,3
Reflectie,60,3
Competentie D,60,3
Competentie C,60,3
Competentie B,60,3
Competentie A,65,3
Expertlessen,60,3
Vormgeving en ontwerp,80,3
Onderzoek en strategie,30,3
Ondernemen,68,3
Interactie,66,3
Animatie,80,3
Onderzoek en strategie,55,3
Reflectie,60,3
Competentie H,65,3
Competentie G,55,3
Competentie F,55,3
Competentie E,55,3
Expertlessen,60,3
Mediatechnologie,100,3
Context van gebruik,92,3
Communicatie en Doelgroepen,50,3
Prototyping,65,3
Communicatie en Doelgroepen,80,3
Storytelling,90,4
Datatheorie,70,4
Data programmeren - Processing,90,4
Data programmeren - D3,60,4
Data visualisering,80,4
Data verzamelen,60,4
Project Recoding Romeo & Juliet,80,4
Project Alles is Data,80,4
Project Alles is Data,90,4
Data programmeren - Processing,90,4
